,term,year,embedding,count
0,wolf,"(1630, 1640]","[0.16602373, -0.11626, -0.44637337, 0.07936386, 0.57773644, -0.59774697, -0.1358994, -0.7659261, 0.1405149, -0.30090782, -0.30205798, -1.1798537, -0.43031365, 0.19654492, -0.8408752, 0.106347054, -0.38612345, 0.088771075, -0.83507705, 0.2422485, 0.24214193, -0.3481632, 0.18653527, -0.10936347, 0.40206757, -0.69286484, -0.16972476, 1.0110685, -0.67851424, 0.047538724, 0.1756512, 0.39723772, 0.34287697, 0.069718346, -0.10847197, -0.90880674, -0.71903217, 0.2875804, 0.20966537, -0.7642515, -1.9007814, -0.5146634, -0.31737152, -0.15366758, 0.33990088, 0.09897494, -1.1619419, 0.056218572, 1.2412207, -0.08478807, -0.78110695, -0.69371665, 0.3060264, -0.71607965, -0.14872167, 0.025450103, -0.9292047, -1.271203, -0.5939291, -0.7296581, -1.507033, 0.52781343, -0.060548805, 0.052935857, -0.46019652, 0.5930151, -0.4292125, 0.014851874, -0.5446165, -0.89348876, 1.0321143, -0.33768696, 0.6024485, -0.19990925, -0.7968137, -0.045271423, -0.198878, 0.47199804, -0.26800042, -0.42511413, -0.90707636, -0.45040718, -0.29720122, 0.05887561, -0.30454513, -0.35662425, -0.35019198, -0.13143377, -0.92738825, -0.40202954, -0.8323401, -0.6389966, 0.23910874, -0.09586157, -0.20608613, 0.1686065, -0.13039671, -0.32894304, -1.1730504, -0.8200597, -0.5237482, 0.4202365, -0.98808587, 0.18416715, -0.5432683, -0.3092912, -0.42680603, -0.5126743, 0.03424584, 0.14683118, -0.35348675, 0.47814757, 0.025678828, -0.4664528, -1.5992546, -0.26206955, 0.069563106, -0.33591652, 0.4723569, -0.11782386, 0.2409666, -0.47288963, -0.08430244, 0.03608749, 0.06905473, -0.4994733, -0.23113026, -0.7120266, -1.009206, -0.53048223, -1.2824191, 0.6911378, -0.20316364, -0.4640761, -1.1922942, -1.0051705, 0.15070724, -0.15590818, -0.34580293, -0.52034026, -0.93409246, -0.6713721, -0.8509718, 0.2561492, -0.019834157, -0.38145778, 0.5572817, 0.3780124, -0.3154678, 0.33969492, -0.62956136, 0.5580657, -0.7416987, -0.01858358, 0.14183258, -0.23796302, 0.3239778, 0.0031389275, -1.2044092, -0.3855648, -0.7780847, -0.24574791, 0.27437067, 0.9211278, -0.7399506, -0.305919, -0.17030992, -0.1387998, -0.56776935, -0.05793809, 0.11272577, -0.29084787, -0.31605253, -0.22999123, 0.2657891, -0.24890035, 0.34845483, -0.26619568, -0.060991436, -0.35184303, -0.2076179, -0.6168324, 0.18043125, 0.21507236, -0.09832055, -0.23074414, 0.02876325, -0.5722355, 0.1016825, -0.48588094, -0.4439594, -0.060891565, 0.4231765, -0.51306885, -0.0028291484, 0.1006491, -0.5608822, -0.3816048, -0.43646485, -0.28641328, -0.40608966, -0.24637645, -0.0374734, -1.0107976, -0.28965458, -0.3554839, -0.020670593, -0.062704116, 0.07839071, -0.6122356, -0.3046136, -0.3720083, 0.35221505, -0.06097888, -0.52523434, -0.33056778, -0.13194534, -0.28269356, -0.255908, -0.4792788, -0.9169117, -0.24329367, -0.74000216, -0.077235125, -0.7186334, 0.1713301, -0.37297845, -0.29440737, -0.569221, -0.14831768, 0.028495505, 0.27124506, 0.14285807, -0.45112678, -0.2508338, -0.08284798, 0.740405, -0.8050359, -0.59971654, -0.9117601, -0.66112024, -0.09915715, -1.0559849, -0.21690913, -0.20723492, -0.8839236, -0.50419444, -0.16576129, 0.54212636, -0.31452796, 0.27150214, 0.36723766, -0.3478164, -0.9065966, 0.7405919, 0.0045921816, -0.078041755, 0.046679992, 0.19288181, -0.64168066, -0.88298637, -0.51575917, -0.399154, -0.9051205, 0.101525374, -0.29208222, -1.1836853, -0.79796106, 0.46599868, -0.85331875, -0.041411236, 0.25254765, -0.34541512, 0.36933926, -0.5484383, -0.30961066, 0.32370982, -0.41582206, -0.47141135, -0.12416153, 0.24435362, 0.34172034, -0.04433325, -0.4372437, -1.2167746, -0.4281667, 0.16076818, 0.6349552, 0.2626408, 0.07460847, -0.08710764, 0.12942639, -0.9353138, 0.08039647, -0.31094736, -0.6415032, -0.14438868, 0.11656055, 0.6574298, -0.32910767, -1.040499, 0.2917491, 0.20377897, -0.60429204, 0.48645467, 0.4124223, -1.0822842, 0.33634377, -6.6271024, 0.09261849, -0.31725284, -0.25131667, -0.040694833, -0.7769144, -0.343417, -0.097256325, 0.5736408, -0.110874586, 0.7172192, -0.49771264, 0.14311787, 0.43657202, -0.013370042, -0.68628025, -0.36967456, -1.5048653, -0.21501945, -0.098704174, -0.7555689, -0.3616011, 0.3703029, -0.22463734, -0.17526893, -0.5568791, -0.4527397, -0.412428, -0.28990874, -0.11026803, -0.023368653, -0.54511404, -0.18585567, -0.087090604, -0.44558662, -0.23970456, -0.5654645, 0.05635767, -0.5059454, -0.3406583, 0.12041773, -1.3186527, -0.4747617, 0.5142228, -0.4422193, -0.114547506, -1.1654683, -0.5830744, 0.045659695, 0.3075098, 0.52342284, 0.2786032, 0.33083606, -0.3500092, 0.16597278, -0.7892772, -0.23516828, 0.3361446, -1.0480251, -0.599102, -1.3276817, -0.6185091, -0.66431165, 0.23943964, 0.8081391, -0.7778637, -0.68489975, -0.9644749, 0.09286944, -0.5484128, -0.16931385, -0.3095445, 0.065526925, -1.2080809, -0.7872169, -1.044911, 0.21095352, 0.42678386, -0.60521877, 0.029058006, -0.27875197, -0.84572464, -0.37864378, -0.5283621, 1.0455098, -0.4191478, -0.5760458, -0.8663687, 0.09627869, -0.042879004, -0.22541384, -0.9964201, 0.039730825, -0.009725227, -0.3848007, 0.07842865, -0.045377664, -0.94970244, 0.41201252, -1.3908085, 0.23066628, -0.3408026, 0.5107767, -0.12106815, -0.1137889, -1.3370851, -0.30284843, -0.40216425, 0.046784017, 0.23437223, -0.5713146, -0.2989827, -0.40548334, -0.6484635, 0.11648331, -0.16799687, -0.64206344, 0.36269796, 0.63664937, -0.5852043, -1.818279, -0.47302505, 0.2553299, -0.010062928, -0.18927462, -0.07862749, -0.5834956, -0.64599514, -1.0084081, 0.120255604, -0.85625154, -1.5332457, -0.0038025104, -0.517092, 0.12266891, -0.35811803, -0.2619831, -0.9139157, -1.4051392, -0.5000962, -1.5765291, -0.8252196, -0.12100701, 0.07714428, -0.0760546, -1.2784582, -0.7930078, -0.41600686, -0.14969589, 0.2593646, -0.21763344, 0.17706804, -0.36879337, -0.6954231, -0.9320945, -0.7984878, -0.092886545, 0.14965275, 0.037211783, -0.88589865, 0.11467443, -0.17734683, -1.1781069, -0.23209184, -0.47701094, 0.001461616, -0.14431489, -0.5227291, 0.5420937, -0.91694117, -0.74333435, -0.18193948, -0.62277174, -0.7824347, -0.23504466, -0.9387751, -0.6966651, -0.07406875, 0.37419456, 0.6145439, -0.773521, 0.017290125, -0.3729858, 0.37133682, 0.22629759, 0.20566478, -0.038000036, -1.1205584, -0.020142555, 0.43137398, -0.7492795, 0.4731651, -0.27390796, -0.22297356, -0.4216178, -1.008499, -0.020301953, -0.75117207, -0.4075623, -0.9425498, 0.32446936, -0.7080768, 0.21457946, -0.1836929, -0.843381, -1.5536579, -0.09045712, -0.28612566, -0.37737077, -0.11942546, -1.2358013, -1.3527485, -0.49061036, -0.66433305, -0.14859603, 0.25303468, -0.29637232, 0.18702807, -0.48467496, -0.1458911, -0.04017895, 0.2815698, -1.0145928, -0.8542172, -1.1239827, -0.78497726, -0.99197096, -0.28745264, -1.1645473, 0.12700103, -0.267352, -0.6942649, 0.025205053, -0.18863858, -1.488138, -0.48569593, -1.1122183, -0.37671793, -1.5141444, 0.28012976, -0.60097146, 0.46603054, -0.6790361, -1.0758499, -1.1076821, 0.24837798, -0.56890833, 0.19414349, 0.1293712, 0.1883374, -0.69605374, 0.22449376, -0.5782104, 0.13737488, -0.44779342, 0.03755311, -0.15130952, -0.042317092, -0.50360745, -0.080377065, 0.30453858, -0.40246156, -0.56179637, 0.26347432, -0.1299667, -0.42344815, 0.2832659, 0.17111357, 0.17138909, -0.44041649, -0.95236623, 0.7278617, -0.5137858, -0.64217085, -0.017862448, 0.15958951, -1.4137427, -0.9147675, -0.6755421, -1.4848132, -0.14972176, -0.37151822, 0.022527192, -1.1448286, -0.619322, -0.5008124, -0.7035697, 0.20453276, -0.40196934, 0.13541277, -0.19914117, -1.2825514, -0.38933682, -1.7590556, -1.434096, 0.48722088, -0.38190138, 0.029822122, 0.72584784, -0.53538495, -0.8964553, -0.70394063, -0.105931155, -0.15564373, 0.44669828, -0.038563628, -0.9482826, -0.886006, 0.18857509, -1.486003, -0.4102427, 0.2400509, 0.22094625, -0.29044554, -0.50008136, -0.5112246, -0.85620797, -0.39767662, 0.5108368, -0.6122179, -0.3734288, 0.022858271, 0.35245943, -0.102325186, -0.29440165, -0.008754589, -0.0031364677, -0.17929211, -0.092401214, -1.1924422, -0.28753957, -0.8276174, -0.20112911, 0.13948451, -1.1513925, -0.44872183, -1.2901376, -0.009276019, -0.19071783, 0.30304408, 0.47392875, -0.28930017, -0.16667509, -0.10725323, 0.079992734, -0.13694395, -0.05325495, 0.09537501, -0.15533815, 0.93986136, 0.12489157, -0.35539424, -0.99830323, -0.6979607, -0.7431408, 0.033344183, -0.23589614, -0.26544368, 0.8281233, 0.8820935, -0.13454446, -0.462626, -0.27132502, 0.047364485, -0.7262662, 0.73054683, -0.01507963, 0.3421923, -0.9417104, -0.43270418, -0.15348192, -1.6200423, -0.059163004, -0.54974735, 0.78092474, -0.087988675, -0.9971262, -0.9061293, 0.027959967, 0.451366, 0.09887916, -0.3089057, 0.3484325, 0.5015003, -1.1066982, -1.1231714, -0.29665425, -0.2516249, -0.29989195, -0.24964088, -0.40644765, 0.21984401, 0.9772518, -0.57809514, -0.0052422197, -0.14365563, -0.55883175, -0.36189914, 0.29364684, -0.21642983, -1.2028736, -0.026463393, -0.76198345, -0.37488133, -0.8645975, -1.3793542, -0.47100678, -1.4222167, -0.29305354, 0.56869596, 0.35228813, 0.18207537, -0.2675878, -0.1834083, 0.06305734, -0.24941918, -0.056869403, -0.3173545, -0.23005155, -0.3968669, -0.47010234, -0.5799134, -0.29976988, -0.9263597, -0.3814398, -1.6628958, 0.5417713, 0.029986246, -0.091189094, -0.20933487, -0.3617134, 0.21793814, 0.17350711, -0.2404022, 1.005207, -0.20277935, 0.109044045, 0.048793107, -1.5229062, -0.2280548, -0.081073985, -0.15488169, -1.4684851, -0.87200344, -1.1879542, -0.3674871, -0.7814792, -0.051948633, -0.3675618, -0.77200776, -1.3155562, -0.11582856, 0.31279922, -0.2921949, -0.07598972, -0.093739346, -0.9397139, -0.90920275, -0.20969704, -0.40358722]",2.0
1,wolf,"(1650, 1660]","[0.5233231, -0.81646746, 0.85729724, 0.04130674, 0.9309494, -0.022737976, -0.69493514, 0.29759812, 0.36808172, 0.09899318, 0.002686856, -0.19828804, 0.37731144, -0.18150592, 0.16873121, 0.34096855, -0.25754952, -0.25400063, -0.44710755, 0.01030342, 0.5331243, -1.078974, -0.7847689, 0.3468187, -0.028391317, -0.7446518, 0.6774688, 0.6267909, -1.04837, 1.5009413, -0.38868332, 0.297915, 0.2580299, 1.0812306, -0.34059846, 0.16474567, -0.742542, -1.0591842, -0.87066656, -0.7649148, -0.4009502, -0.06569278, -0.13300274, -0.08981827, 0.7562121, 0.21275228, 0.5033162, -1.4593772, 1.3651109, 0.4607961, -1.0432966, 0.1622215, -0.6131072, -0.28678608, 1.1336845, 1.3056412, 0.0030284731, -0.17689471, 0.5328669, -0.54975396, 0.33267832, -0.4551903, -0.37474573, -0.026184114, -0.46119347, -0.69322, 0.48766285, 0.087578505, 0.28295776, 0.30960873, -0.19648336, 1.6616203, -0.4463276, 0.57527155, 0.42513415, 0.014566165, 0.60321796, 0.5689949, 0.18215309, -0.46775123, 0.15814112, -0.015577592, 0.505834, -0.102865644, 0.15181632, 0.7664052, 0.32782865, -0.22886588, -0.19170837, -0.32533273, -0.7468871, 0.102394804, -0.5709896, 0.7614935, -0.5729968, 0.40226558, -0.07877715, 0.24870655, -0.21887106, -1.7162898, -0.3239132, 0.27140194, 0.6240387, -0.017296081, -0.09633044, 0.016963702, 0.06678502, 0.008751886, 0.52029216, -0.039199155, -0.2793526, 0.32457316, -0.9044137, -1.489442, -1.2090713, -0.370568, -0.6596312, 1.044096, 0.08471339, 0.20774108, 0.43488967, 0.16098587, 0.45995122, 0.62069404, 0.31893536, 0.09664268, 0.19137754, 0.0413279, 0.022303052, 0.034126945, -1.2552017, -0.19669878, -0.25113356, -1.2196681, 0.3209759, -0.24610299, 0.116640426, -0.0001906019, 0.026829556, 0.13675447, -0.6989227, -0.7337306, 0.20720224, 0.18922673, 0.33170155, -0.06261533, -0.6262744, -0.25928384, 1.05421, 0.7906079, -0.38786837, -0.1247729, -0.3225278, 1.1127164, -1.0039816, -0.33116856, -0.6324099, 0.04085493, 0.008299032, 0.098427325, 0.1874654, 0.23390798, 0.5319699, 0.16101699, -0.66440135, 1.2914441, 0.12067276, 0.6991489, -0.32629576, -0.5808502, 0.5188957, 0.016519368, -0.29016724, -0.99411017, 0.64092594, 0.475913, -0.18821134, -0.7340119, -0.41839176, 0.4821912, -0.061069973, 0.89439344, -0.16571744, 1.1403799, 0.4584973, -0.17048162, 0.5403766, 0.6454304, -0.027791437, -0.18175001, -0.54372454, 0.15430665, 0.8052436, -0.451017, 0.14685373, -0.17572536, -1.4540579, -0.038001943, -0.25919816, -0.3716703, 1.482947, 0.5582104, 0.3104263, 0.40077975, -0.05844709, 0.08842738, 0.9336889, -0.37625837, -0.9897691, 0.8233896, 0.7090504, 0.47139683, 0.31056002, 0.03065611, 0.22877118, 0.0793186, -0.83233, 0.45002118, 0.20095573, 0.25803933, 0.6105969, -0.6572226, -0.84010905, 0.19011131, -0.55195206, 0.56883794, 0.672278, -0.5492474, 0.7068395, -0.43741214, 0.8451565, -0.005629769, -0.14759266, 0.11935517, 0.124965385, 0.9684632, -0.9742919, -0.5086257, 0.1253967, 0.07155851, 0.06820796, 0.7324628, -0.59532267, 0.32777086, -0.18483089, 0.45650122, 0.31626722, 0.3787403, -0.4990694, -0.28224334, -0.24699637, -0.3471689, 0.2397889, -0.19143711, 0.4654579, -0.21772319, -0.62861276, 0.35849977, -0.22919373, 0.0036613485, 0.25455832, 0.6704835, -0.625129, -0.6053551, 0.4143822, 0.06518396, 0.12600307, 0.25226074, 0.918075, -1.0189043, 1.0227646, 1.1165537, 0.41149908, 0.700492, -0.10143808, -0.5262012, -0.17817134, -0.8179351, -0.42321467, -0.3578837, 0.44092166, 0.3162861, 1.1195456, -0.019253185, -0.8793672, -0.6192397, 0.37412965, -0.06947631, 0.022797054, 0.45968515, -0.3599825, -0.16081807, -0.98891807, -0.33142194, 1.2952251, -0.17877224, 0.27233663, -0.8024545, 0.15035437, 0.65696573, 0.8192548, -0.35498783, -0.45572555, -0.9797848, 0.90496475, 0.51094645, -0.0065750163, 0.73680794, -3.7433708, 0.23891908, -0.05563094, 0.33995533, -0.6954787, -0.37055016, -1.2912388, -0.35221666, 0.29337347, -0.070646316, 0.621903, -0.41220966, 0.059990317, -0.37420633, 0.39557657, -0.5323123, -0.8982181, 0.12660003, -0.029727671, 0.31028667, 0.3744184, 0.4577235, 1.0385597, -0.16335985, -0.5253215, 0.97518456, -0.6731025, -0.7497011, 0.019482365, 0.22700839, -2.0287514, -0.41277376, 0.23398565, 1.8855436, 0.56624943, -0.697047, -0.41133288, 0.1421998, -0.28748608, 0.32150507, -0.07616564, -0.2946576, -0.44511184, -0.111147694, 0.4510323, -0.05436585, -0.6956253, -0.019061843, 0.34135056, 0.4158422, -0.86422104, -0.045413222, -0.55681306, 0.70306414, 0.97937375, 0.28135687, 0.65912485, 0.38462076, 0.3825042, 0.6181144, -0.03309797, -0.4727859, -0.1731269, 0.15302084, 1.1426786, 0.0026249841, -1.0795915, -1.7177539, -0.46248344, 0.5643931, -0.33091348, -0.39405918, 1.2764183, -1.3185993, 0.6287591, -1.9787297, 0.21448743, -0.23787047, -0.7233052, 0.72743255, 0.99765724, -1.1632924, -0.26938125, -0.5169445, -0.3179091, 0.7376685, -0.25229645, 0.21294463, -1.6069986, -0.4921399, 0.2619683, 0.3530432, -0.38670853, -0.46651763, -0.18288635, -0.4473685, 0.3537997, 0.45361927, 0.24926522, -0.62902755, 0.14947164, -1.3382965, 1.3234253, 0.3017281, -0.68704206, -0.884475, -0.24761465, 0.2990583, 0.3398339, 0.73961085, 0.5748634, -0.362935, 0.8759741, -0.5179087, 0.014236451, -0.18691035, -0.21265753, 0.14848883, -0.59375554, -0.10983379, -0.5043077, 0.27434546, 0.4835016, -0.27826458, -1.6608058, 0.15257095, -0.6632645, -0.271791, -1.1709919, -0.2297931, -0.49319518, 0.23916581, -0.1308949, 0.3066113, 0.27278256, 0.15266804, 0.59715366, 0.52728856, -0.69654524, -0.2942979, -0.5840274, 0.19610688, -0.4636565, -0.1944881, 1.6871494, -0.3813768, -0.40154567, 0.012083201, -0.4277097, -0.95758706, 0.07106487, -0.027483605, 0.040452436, -0.34528932, -1.1231364, -0.20940825, 0.089729406, 0.0594179, -0.12480825, -0.10014017, 0.09803908, -0.36115772, 0.7788437, -0.34914327, -0.447037, 0.20238748, 0.36897412, 0.025793994, 1.0878663, -0.06501569, 0.6092901, -1.001446, 0.9085409, 0.17943206, -0.03344861, 0.7958513, 0.82502896, 0.1388675, -0.615512, 0.40430972, -1.0611408, 0.33461586, -0.2539966, -0.056298587, -0.3341989, 0.65267587, 0.6555302, 0.6144121, -0.30582556, 0.99133414, 0.7407067, -0.1080069, 0.2424776, 0.8419878, -0.36765826, 0.06726159, -0.6370534, -0.74032795, 0.076314114, 0.34748146, -0.65406716, 0.028763965, 0.09077031, -0.72133315, 1.1425349, -0.10730032, 0.8533331, 0.4841606, -0.6014596, 0.3526271, 0.9031945, -0.09580642, -0.060252354, 0.2271016, -0.23169416, 0.14812334, -0.6474795, 0.23084843, -0.80993736, 0.34496602, -0.2582292, -0.2677325, 0.47301015, -0.9967816, 0.97387964, 0.6609602, 0.0334446, -0.38890567, -0.7598616, 0.64129883, 0.6146738, -1.4988017, 0.50539637, -0.05624909, -0.5335445, 0.26069158, -0.22135466, -0.7091533, -0.4230959, 0.3529675, 1.2143523, 0.6525361, 0.11483853, -0.30105525, -0.14333473, 1.6002024, 0.56022716, 0.46872133, -0.103540614, -0.2584985, 0.48627672, 0.8813651, 0.89473826, -0.012161471, 0.36269212, 0.22289035, -0.21078137, 0.17735946, 0.08370982, 0.19617791, -0.5762537, -0.15143572, 0.13434747, 0.3484616, 0.43925706, -0.33616486, -0.43396884, -0.43418497, -0.77994484, -0.042535886, 0.9634507, -1.0686138, -0.5351394, 1.2673578, 0.09875845, -0.030631527, -0.48160246, 0.038883574, 0.6743602, 0.17778885, -0.98445356, 0.36010575, -0.5805406, -0.040669013, -0.8522421, 0.5952241, -0.7302744, -0.34031665, -0.8645901, -0.42999512, -0.36148453, 0.21184184, -0.2681727, -0.5368407, -0.5228697, 0.49443796, 0.027269976, 0.28359786, 0.09284422, 0.84815645, -0.32402357, 0.15422657, -0.2153172, 0.26469666, -0.31346852, -0.17616786, 0.44936314, 0.087828346, -0.87762696, 0.077706985, -1.2154603, 0.06459421, -0.28786778, 0.6820311, 2.5000687, 0.50420946, -0.6948866, 0.8857042, 1.2329946, -0.29395396, 0.07884839, 1.5810002, -0.2933786, -0.4008059, -0.025203243, -0.7396003, -0.36322498, 1.2833586, -0.10028271, -1.6872747, -0.30381393, -0.35369298, 0.357429, 0.2995439, -0.6143984, 0.095436305, 0.87452865, 0.40373865, -1.2340965, -0.98646784, 0.71905285, -0.33600563, -1.1685433, -0.8593969, -0.66441834, 0.010180983, -0.42826283, -0.13364647, 0.008261114, 0.56338066, -0.100747064, 0.34439325, 0.86855453, -0.9052971, -0.98782295, -0.7219485, -0.253021, -0.1264178, 0.50714356, 0.5138747, -0.43630746, -0.25739247, 0.1815554, 0.10107268, -0.69623184, -0.4942906, 0.87785536, -0.15771031, 0.41525754, 0.30394098, -0.25393054, -0.5977301, 0.22981447, -2.2403328, 0.52504283, 0.19030076, -0.6337651, -0.22524004, -0.013554988, -0.41379857, -0.029340874, -0.4573597, -0.65829617, 1.0670996, -1.5219997, -0.6341764, -0.28796142, -1.2165185, -0.065251306, -0.2391667, 0.32226244, -0.12772827, 1.6447079, 0.535916, 0.6263586, -0.71977913, 0.48206103, 0.13261059, -0.15100378, -0.39851725, 0.67979187, 0.106715985, 0.17175637, 0.3737449, 0.6875357, 0.46179974, 0.11187981, 0.91116726, 0.35302955, -0.1316925, -1.1054002, -0.5376843, -0.7378256, -0.30069777, -0.6572656, 0.27782145, -0.32952082, 1.0800844, -0.8961504, -0.48634478, -0.83039725, -0.17173795, 0.03744636, -1.2431506, -1.4192928, -0.59732896, 0.34597316, -0.34116226, -0.25163275, -0.010054288, -1.6257006, 0.605082, -1.576324, -1.1372418, 1.0326984, 0.042906232, -0.13661651, -0.114359766, -0.93956804, -0.66719913, 1.0284424, 1.1827794, 0.33637556, -0.5010426, -0.16517043, -0.21948834, 0.42171362, -0.304417, -0.54595554, 0.5703957, 0.50260526, 0.1937449, 0.32855937, -0.28758892, 0.14863591, -0.40272728, -0.7804475, -0.40354288, -0.26948437, -0.78695357]",1.0
